Station,Station_Name,Average_Delay(min),Right Time (0–15 min’s),Slight Delay (15–60 min’s),Significant Delay (>1 Hour),Cancelled/Unknown
TVM,Thiruvananthapuram,6,89.0,7.0,2.0,2.0
MAS,Chennai Central,8,87.0,8.0,2.8,2.0
BZA,Vijayawada,10,85.0,9.0,3.6,2.0
HWH,Howrah,12,83.0,10.0,4.4,2.0
PNBE,Patna,14,81.0,11.0,5.2,2.0
NJP,New Jalpaiguri,16,79.0,12.0,6.0,2.0
RNY,Rangiya,18,77.0,13.0,6.8,2.0
GHY,Guwahati,20,75.0,14.0,7.6,2.0
SCL,Silchar,22,73.0,15.0,8.4,2.0
DBRG,Dibrugarh,24,71.0,16.0,9.2,2.0
KYQ,Kamakhya Jn,26,69.0,17.0,10.0,2.0
NTSK,New Tinsukia,28,67.0,18.0,10.8,2.0
MDT,Malda Town,30,65.0,19.0,11.6,2.0
AGC,Agra Cantt,32,63.0,20.0,12.4,2.0
NDLS,New Delhi,34,61.0,21.0,13.2,2.0
